0:00:17.670505, Control, [0.5971095317392852], [-0.8016665988870088], [0.028122434727946406], [10.01920891], [0.45183215], [0.], [0.08212243], 0
0:00:18.681293, Control, [0.658927152983264], [-0.7516519478215777], [0.028885228013613207], [8.1497463], [0.48919536], [0.], [0.08088523], 0
0:00:19.190895, Control, [0.5785647507964883], [-0.8140710699279444], [0.05050863532277659], [11.05185936], [0.40292356], [0.], [0.08250864], 0
0:00:20.201621, Control, [0.5785647507964883], [-0.8140710699279444], [0.05050863532277659], [6.45994036], [0.40292356], [0.], [0.08250864], 0
0:00:20.715098, Control, [0.0], [0.0], [0.0], [7.50060675], [-0.041], [0.], [0.016], 0
0:00:21.726319, Control, [0.0], [0.0], [0.0], [16.81301979], [-0.041], [0.], [0.006], 0
0:00:22.236055, Control, [0.0], [0.0], [0.0], [18.05393947], [-0.02], [0.], [0.018], 0
0:00:23.245345, Control, [0.0], [0.0], [0.0], [0], [-0.02], [0.], [0.018], 0
0:00:23.754658, Control, [0.0], [0.0], [0.0], [21.49232982], [-0.005], [0.], [0.03], 0
0:00:24.765054, Control, [0.0], [0.0], [0.0], [21.49232982], [0.], [0.], [0.032], 0
0:00:25.275080, Control, [0.0], [0.0], [0.0], [20.30979624], [0.001], [0.], [0.026], 0
0:00:26.295090, Control, [0.0], [0.0], [0.0], [20.30979624], [0.001], [0.], [0.026], 0
0:00:26.805280, Control, [0.0], [0.0], [0.0], [0], [0.], [0.], [0.036], 0
0:00:27.812190, Control, [0.0], [0.0], [0.0], [0], [0.005], [0.], [0.046], 0
0:00:28.322284, Control, [0.0], [0.0], [0.0], [21.51671249], [0.001], [0.], [0.028], 0
0:00:29.356581, Control, [0.5850451503370399], [-0.8107579328619097], [0.019843043329932347], [6.90187141], [0.43978386], [-0.], [0.04784304], 0
0:00:29.871219, Control, [0.27805986232873425], [-0.9605413268378218], [0.006562956525995705], [1.04140737], [0.2075449], [0.], [0.02656296], 0
0:00:30.882314, Control, [0.6020353259793084], [-0.7974566127045954], [0.04020469035698082], [6.27574488], [0.44152649], [0.], [0.05620469], 0
0:00:31.395153, Control, [0.0], [0.0], [0.0], [17.44384325], [-0.02], [0.], [0.016], 0
0:00:32.410822, Control, [0.0], [0.0], [0.0], [23.72650934], [-0.02], [0.], [0.016], 0
0:00:32.927473, Control, [0.5797064584409461], [-0.8148123193698933], [-0.004615868814271154], [0.62819638], [0.42277984], [0.], [0.00538413], 0
0:00:33.946653, Control, [0.5925059188143279], [-0.8055272208030656], [-0.007914083350462698], [0.62819638], [0.43337944], [0.], [-0.00791408], 0
0:00:34.472865, Control, [0.6122434358015769], [-0.79046104937566], [0.0181467555725742], [0.62819638], [0.43718258], [0.], [0.02614676], 0
0:00:35.494318, Control, [0.5837852654727684], [-0.8114623609966299], [0.026899823469018026], [0.62819638], [0.41883895], [0.], [0.04289982], 0
0:00:36.017213, Control, [0.5883181688172487], [-0.808194408046302], [0.026524159594730673], [0.62819638], [0.42223863], [0.], [0.03852416], 0
0:00:37.043513, Control, [0.0], [0.0], [0.0], [0], [-0.02], [0.], [0.], 0
0:00:37.552495, Control, [0.0], [0.0], [0.0], [0], [0.], [0.], [0.008], 0
0:00:38.563332, Control, [0.0], [0.0], [0.0], [0], [0.], [0.], [0.006], 0
0:00:39.071576, Control, [0.0], [0.0], [0.0], [0], [0.002], [0.], [0.004], 0
0:00:40.085180, Control, [0.607777790446847], [-0.7935082810022095], [0.03083448427437957], [26.91318697], [0.45383334], [0.], [0.03883448], 0
0:00:40.596902, Control, [0.0], [0.0], [0.0], [27.90802123], [0.], [0.], [-0.092], 0
0:00:41.611079, Control, [0.0], [0.0], [0.0], [22.92203947], [0.001], [0.], [-0.09], 0
0:00:42.125600, Control, [0.0], [0.0], [0.0], [23.91952444], [0.003], [0.], [-0.104], 0
0:00:43.136530, Control, [0.0], [0.0], [0.0], [21.93152684], [0.], [0.], [-0.094], 0
0:00:43.650951, Control, [0.0], [0.0], [0.0], [21.93152684], [-0.014], [0.], [-0.03], 0
0:00:44.666066, Control, [0.0], [0.0], [0.0], [21.93152684], [0.001], [0.], [0.008], 0
0:00:45.183299, Control, [0.0], [0.0], [0.0], [0], [0.], [0.], [0.], 0
0:00:46.193460, Control, [0.0], [0.0], [0.0], [0], [0.], [0.], [-0.002], 0
0:00:46.708378, Control, [0.0], [0.0], [0.0], [0], [0.001], [0.], [-0.008], 0
0:00:47.728310, Control, [0.0], [0.0], [0.0], [0], [0.001], [0.], [-0.01], 0
0:00:48.243006, Control, [0.0], [0.0], [0.0], [0], [0.001], [0.], [-0.016], 0
0:00:48.757829, Control, [0.0], [0.0], [0.0], [0], [0.001], [0.], [-0.02], 0
0:00:49.270560, Control, [0.0], [0.0], [0.0], [0], [0.001], [0.], [-0.024], 0
0:00:49.780756, Control, [0.0], [0.0], [0.0], [0], [0.002], [0.], [-0.026], 0
0:00:50.289103, Control, [0.0], [0.0], [0.0], [0], [0.003], [0.], [-0.03], 0
0:00:50.797203, Control, [0.0], [0.0], [0.0], [0], [0.003], [0.], [-0.034], 0
0:00:51.304295, Control, [0.0], [0.0], [0.0], [0], [0.003], [0.], [-0.036], 0
0:00:51.810669, Control, [0.0], [0.0], [0.0], [0], [0.004], [0.], [-0.04], 0
0:00:52.316985, Control, [0.0], [0.0], [0.0], [0], [0.004], [0.], [-0.044], 0
0:00:52.823341, Control, [0.0], [0.0], [0.0], [0], [0.006], [0.], [-0.046], 0
